Model,Threshold,ROC-AUC,PR-AUC,Recall,Precision,F1,Accuracy
Logistic (balanced),0.5,0.839,0.259,0.8,0.134,0.23,0.738
Logistic (balanced),0.5,0.839,0.259,0.8,0.134,0.23,0.738
